
Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0085, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0022, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0012, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0021, Accuracy: 423/425 (100%)


 The epoch is 120, average recall: 0.7586, average precision: 0.8148,average F1: 0.7857, average accuracy: 0.7966, average AUC: 0.8830
Train set: Average loss: 0.0018, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0020, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0016, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0011, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0011, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


 The epoch is 130, average recall: 0.7931, average precision: 0.7797,average F1: 0.7863, average accuracy: 0.7881, average AUC: 0.8914
Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0028, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0016, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0014, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


 The epoch is 140, average recall: 0.7931, average precision: 0.7797,average F1: 0.7863, average accuracy: 0.7881, average AUC: 0.8839
Train set: Average loss: 0.0012, Accuracy: 422/425 (99%)

